date,sid
2017-03-02,28C2DDDD47C0
2017-03-02,28C2DDDD457B
2017-03-02,FT_CDPS
2017-03-02,FT1_CCUME_Factory202
2017-03-02,9E65F90C3F6F
2017-03-02,9E65F90C53C3
2017-03-02,9E65F90B8433
2017-03-02,9E65F90C3F32
2017-03-02,9E65F90C5622
2017-03-02,9E65F90C53D6
2017-03-03,28C2DDDD450C
2017-03-03,74DA38A8690A
2017-03-03,28C2DDDD45E2
2017-03-03,28C2DDDD47D6
2017-03-03,28C2DDDD434D
2017-03-03,74DA38A86950
2017-03-03,WF_14011622
2017-03-03,WF_12743501
2017-03-03,9E65F90C53D6
2017-03-03,9E65F90C53C3
2017-03-04,28C2DDDD457B
2017-03-04,28C2DDDD47CB
2017-03-04,28C2DDDD47AD
2017-03-04,28C2DDDD4575
2017-03-04,FT_SYPS1
2017-03-04,FT1_CCUME_Factory202
2017-03-04,WF_12743501
2017-03-04,FT1_Dounan_Outdoor
2017-03-04,9E65F90C53D6
2017-03-04,9E65F90C3F64
2017-03-05,74DA3895C306
2017-03-05,74DA3895DFA4
2017-03-05,74DA38AF486C
2017-03-05,74DA38B05314
2017-03-05,74DA388FF5D6
2017-03-05,74DA38AF484E
2017-03-05,74DA38AF4858
2017-03-05,74DA38AF4974
2017-03-05,FT1_Dounan_Outdoor
2017-03-05,9E65F90C53AD
